registry,file,publisher,rule_id,category,severity,detection,threat_actor_account
OpenClaw,13256659129/references/SKILL.md,13256659129,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,13256659129/sx-security-audit-1-0-0/SKILL.md,13256659129,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,1999azzar/guardian-wall-azzar/SKILL.md,1999azzar,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,1kalin/afrexai-crisis-management/SKILL.md,1kalin,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,1kalin/afrexai-risk-assessment/SKILL.md,1kalin,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,1kalin/afrexai-risk-management/SKILL.md,1kalin,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,1kalin/afrexai-web-performance-engine/SKILL.md,1kalin,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,1kalin/compliance-readiness/SKILL.md,1kalin,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,2393970875/deepsop-image-video-generator/SKILL.md,2393970875,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,2393970875/image-video-generator/SKILL.md,2393970875,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,282059559donghui-prog/rts-dashboard/SKILL.md,282059559donghui-prog,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,345968504/openclaw-troubleshooter/SKILL.md,345968504,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,36kr-com/36kr-ainotes/SKILL.md,36kr-com,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,36kr-com/36kr-aireportlist/SKILL.md,36kr-com,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,377739442/hipc-config-manager/SKILL.md,377739442,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,4833675/minimax-tokenplan-tts/SKILL.md,4833675,ATR-2026-00134,skill-compromise,medium,Fork Claim and Community Package Impersonation,
OpenClaw,51mee-com/51mee-background-check-list/SKILL.md,51mee-com,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,51mee-com/51mee-candidate-tracker/SKILL.md,51mee-com,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,51mee-com/51mee-interview-evaluation-report/SKILL.md,51mee-com,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,51mee-com/51mee-interview-questions-generator/SKILL.md,51mee-com,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,51mee-com/51mee-job-market-analysis/SKILL.md,51mee-com,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,7789996399/meerkat-governance/SKILL.md,7789996399,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,abhi152003/maxxit-lazy-trading/SKILL.md,abhi152003,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,adamkristopher/ga4-analytics/SKILL.md,adamkristopher,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,adibirzu/openclaw-security-monitor/SKILL.md,adibirzu,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
